ID Conexão,ID Cliente,Número do Imóvel,ID Endereço,ID Categoria,Data Matrícula,Inativo,Motivo da Falha
1483,1260,249,43,27,2000-01-01,"""\\0""",CNPJ com 15 dígitos (esperado 14)
1484,1261,566,32,27,2000-01-01,"""\\0""",CNPJ com 15 dígitos (esperado 14)
1485,1262,457,10,27,2000-01-01,"""\\0""",CNPJ com 15 dígitos (esperado 14)
1486,1263,1064,42,27,2000-01-01,"""\\0""",CNPJ com 15 dígitos (esperado 14)
1487,1264,1005,42,27,2000-01-01,"""\\0""",CNPJ com 15 dígitos (esperado 14)
1488,1265,1746,36,27,2000-01-01,"""\\0""",CNPJ com 15 dígitos (esperado 14)
1489,1266,1663,36,27,2000-01-01,"""\\0""",CNPJ com 15 dígitos (esperado 14)
1490,1267,1156,29,27,2000-01-01,"""\\0""",CNPJ com 15 dígitos (esperado 14)
1491,1268,5001,11,27,2000-01-01,"""\\0""",CNPJ com 15 dígitos (esperado 14)
1492,1269,2196,3,18,2000-01-01,"""\\0""",CNPJ com 15 dígitos (esperado 14)
1493,1270,1060,42,27,2000-01-01,"""\\0""",CNPJ com 15 dígitos (esperado 14)
1495,1272,964,26,18,2000-01-01,"""\\0""",CNPJ com 15 dígitos (esperado 14)
1496,1273,2100,3,1,2000-01-01,"""\\0""",CNPJ com 15 dígitos (esperado 14)
1497,1274,684,44,1,2000-01-01,"""\\0""",CNPJ com 15 dígitos (esperado 14)
1498,1275,1297,29,1,2000-01-01,"""\\0""",CNPJ com 15 dígitos (esperado 14)
1611,1371,433,10,1,2000-01-01,"""\\0""",CNPJ com 15 dígitos (esperado 14)
1996,1651,2289-A,12,27,,"""\\0""",CNPJ com 15 dígitos (esperado 14)
2495,2000,00,34,18,2000-01-01,"""\\0""",CNPJ com 15 dígitos (esperado 14)
2507,2011,753-C,34,27,,"""\\0""",CNPJ com 15 dígitos (esperado 14)
431,413,261,40,1,2000-01-01,"""\\0""",CNPJ com checksum inválido
905,828,10 -A,35,30,2000-01-01,"""\\0""",CNPJ com checksum inválido
3006,2339,798,34,5,,"""\\0""",CNPJ com checksum inválido
2,2,1367,1,2,2000-01-01,"""\\0""",CPF com checksum inválido
33,33,87 inativo,5,2,2000-01-01,"""\u0001""",CPF com checksum inválido
52,52,216,7,1,2000-01-01,"""\\0""",CPF com checksum inválido
67,67,366,10,2,2000-01-01,"""\\0""",CPF com checksum inválido
102,102,1233falecida,16,2,2000-01-01,"""\u0001""",CPF com checksum inválido
159,159,1247,29,2,2000-01-01,"""\\0""",CPF com checksum inválido
315,312,03-A,35,1,2000-01-01,"""\\0""",CPF com checksum inválido
329,324,192,7,2,2000-01-01,"""\\0""",CPF com checksum inválido
337,332,245,43,1,2000-01-01,"""\\0""",CPF com checksum inválido
349,343,1394,1,2,2000-01-01,"""\\0""",CPF com checksum inválido
524,488,908,26,1,2000-01-01,"""\\0""",CPF com checksum inválido
589,548,523-inativo,33,1,2000-01-01,"""\u0001""",CPF com checksum inválido
633,583,1465,36,1,2000-01-01,"""\\0""",CPF com checksum inválido
653,600,1660,36,1,2000-01-01,"""\\0""",CPF com checksum inválido
780,715,151,7,1,2000-01-01,"""\\0""",CPF com checksum inválido
825,755,2235-inativo,12,1,2000-01-01,"""\u0001""",CPF com checksum inválido
831,761,2251/inativo,12,1,2000-01-01,"""\u0001""",CPF com checksum inválido
847,774,1012,42,1,2000-01-01,"""\\0""",CPF com checksum inválido
866,792,2028,4,1,2000-01-01,"""\\0""",CPF com checksum inválido
867,792,2025,4,1,2000-01-01,"""\\0""",CPF com checksum inválido
868,792,2024,4,1,2000-01-01,"""\\0""",CPF com checksum inválido
875,799,590,21,1,2000-01-01,"""\\0""",CPF com checksum inválido
881,805,2240,12,1,2000-01-01,"""\\0""",CPF com checksum inválido
892,816,629-inativa,32,1,2000-01-01,"""\u0001""",CPF com checksum inválido
900,823,1871-inativo,12,1,2000-01-01,"""\u0001""",CPF com checksum inválido
906,829,12-A Inativo,35,1,2000-01-01,"""\u0001""",CPF com checksum inválido
930,850,546-inativo,33,1,2000-01-01,"""\u0001""",CPF com checksum inválido
939,857,1356,1,1,2000-01-01,"""\\0""",CPF com checksum inválido
962,879,2207,3,5,2000-01-01,"""\\0""",CPF com checksum inválido
967,884,2006-inativo,4,5,2000-01-01,"""\u0001""",CPF com checksum inválido
979,896,71,5,1,2000-01-01,"""\\0""",CPF com checksum inválido
995,912,124-inativo,5,1,2000-01-01,"""\u0001""",CPF com checksum inválido
996,913,125,5,1,2000-01-01,"""\\0""",CPF com checksum inválido
1008,925,178,7,3,2000-01-01,"""\\0""",CPF com checksum inválido
1013,929,207,7,1,2000-01-01,"""\\0""",CPF com checksum inválido
1049,965,361,10,1,2000-01-01,"""\\0""",CPF com checksum inválido
1071,987,1852,12,1,2000-01-01,"""\\0""",CPF com checksum inválido
1096,1008,319,10,30,2000-01-01,"""\\0""",CPF com checksum inválido
1098,1010,390,11,1,2000-01-01,"""\\0""",CPF com checksum inválido
1102,1013,1133transferencia,11,1,2000-01-01,"""\u0001""",CPF com checksum inválido
1122,1032,2220,12,1,2000-01-01,"""\\0""",CPF com checksum inválido
1145,1053,1585 inativo,19,1,2000-01-01,"""\u0001""",CPF com checksum inválido
1163,1069,1202-INATIVO,18,1,2000-01-01,"""\u0001""",CPF com checksum inválido
1171,1076,1741,22,1,2000-01-01,"""\\0""",CPF com checksum inválido
1180,1085,1093,23,1,2000-01-01,"""\\0""",CPF com checksum inválido
1185,1089,809,26,1,2000-01-01,"""\\0""",CPF com checksum inválido
1196,1100,941-inativo,26,1,2000-01-01,"""\u0001""",CPF com checksum inválido
1214,1114,1176,29,5,2000-01-01,"""\\0""",CPF com checksum inválido
1232,1132,820-INATIVO,31,1,2000-01-01,"""\u0001""",CPF com checksum inválido
1297,1193,1023,42,1,2000-01-01,"""\\0""",CPF com checksum inválido
1304,1198,33-F -inativo,48,4,2000-01-01,"""\u0001""",CPF com checksum inválido
1441,1241,689 - inativo,44,1,2000-01-01,"""\u0001""",CPF com checksum inválido
